effortLevel,nDots,coherence,dotFrames,speed,dotDirections,participant,age,scriptDate,startTime,endTime,refreshRate,fixationFrames,fixationS,trialNo,blockType,task,targetS,targetFrames,blockNumber,elapsedTime,resp,rt,iti,responseTTL,overallTrialNum,keypress,acc,creditsEarned
2,250.0,1.0,12.0,0.01,0,999,18,191018,2018-10-23-10-45-56,2018-10-23-10-46-01,60,90,1.5,1,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,1,4.536947011947632,right,0.6519269943237305,0.55,251.0,1,right,1,0
3,500.0,1.0,12.0,0.01,90,999,18,191018,2018-10-23-10-45-56,2018-10-23-10-46-06,60,90,1.5,2,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,1,9.10841703414917,up,1.486057996749878,0.75,251.0,2,up,1,0
0,10.0,1.0,12.0,0.01,270,999,18,191018,2018-10-23-10-45-56,2018-10-23-10-46-10,60,90,1.5,3,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,1,13.062785148620605,left,0.6859850883483887,0.7,250.0,3,left,0,0
1,50.0,1.0,12.0,0.01,0,999,18,191018,2018-10-23-10-45-56,2018-10-23-10-46-13,60,90,1.5,4,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,1,16.984040021896362,up,0.701002836227417,0.8,250.0,4,up,0,0
2,250.0,1.0,3.0,0.01,270,999,18,191018,2018-10-23-10-45-56,2018-10-23-10-46-18,60,90,1.5,1,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,21.455651998519897,down,0.6024479866027832,0.45,251.0,5,down,1,0
3,500.0,1.0,3.0,0.01,90,999,18,191018,2018-10-23-10-45-56,2018-10-23-10-46-22,60,90,1.5,2,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,25.810215950012207,up,1.3847880363464355,0.7,251.0,6,up,1,0
2,250.0,1.0,3.0,0.01,270,999,18,191018,2018-10-23-10-45-56,2018-10-23-10-46-26,60,90,1.5,3,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,29.564402103424072,right,0.5357398986816406,0.7,250.0,7,right,0,0
3,500.0,1.0,3.0,0.01,90,999,18,191018,2018-10-23-10-45-56,2018-10-23-10-46-30,60,90,1.5,4,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,33.668864011764526,left,0.8858609199523926,0.75,250.0,8,left,0,0
0,10.0,1.0,3.0,0.01,270,999,18,191018,2018-10-23-10-45-56,2018-10-23-10-46-34,60,90,1.5,5,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,37.706478118896484,down,0.7524399757385254,0.5,251.0,9,down,1,0
0,10.0,1.0,3.0,0.01,180,999,18,191018,2018-10-23-10-45-56,2018-10-23-10-46-39,60,90,1.5,6,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,42.39463996887207,left,1.6696910858154297,0.7,251.0,10,left,1,0
2,250.0,1.0,3.0,0.01,90,999,18,191018,2018-10-23-10-45-56,2018-10-23-10-46-43,60,90,1.5,7,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,46.732954025268555,up,1.1201848983764648,0.9,251.0,11,up,1,0
0,10.0,1.0,3.0,0.01,0,999,18,191018,2018-10-23-10-45-56,2018-10-23-10-46-47,60,90,1.5,8,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,50.60404014587402,right,0.435945987701416,0.5,251.0,12,right,1,0
1,50.0,1.0,3.0,0.01,180,999,18,191018,2018-10-23-10-45-56,2018-10-23-10-46-51,60,90,1.5,9,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,54.24158000946045,left,0.6189529895782471,0.5,251.0,13,left,1,0
1,50.0,1.0,3.0,0.01,0,999,18,191018,2018-10-23-10-45-56,2018-10-23-10-46-54,60,90,1.5,10,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,57.86221408843994,right,0.6025128364562988,0.45,251.0,14,right,1,0
1,50.0,1.0,3.0,0.01,0,999,18,191018,2018-10-23-10-45-56,2018-10-23-10-46-58,60,90,1.5,11,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,61.49926209449768,down,0.6689019203186035,0.65,250.0,15,down,0,0
3,500.0,1.0,3.0,0.01,180,999,18,191018,2018-10-23-10-45-56,2018-10-23-10-47-02,60,90,1.5,12,dotMotionPracticeEasy,dotMotionPracticeEasy,4.0,240,2,65.27004194259644,up,0.5865809917449951,0.85,250.0,16,up,0,0
